40.0,30.0,0.0,45.0,40.0
10.0,0.0,0.0,45.0,40.0
30.0,45.0,10.0,0.0,40.0
30.0,45.0,10.0,45.0,40.0
40.0,30.0,0.0,45.0,40.0
20.0,30.0,10.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
30.0,45.0,10.0,45.0,40.0
40.0,30.0,10.0,45.0,40.0
30.0,15.0,10.0,30.0,40.0
30.0,45.0,10.0,45.0,40.0
20.0,30.0,10.0,45.0,0.0
30.0,30.0,10.0,45.0,40.0
30.0,30.0,0.0,45.0,40.0
40.0,45.0,5.0,45.0,20.0
40.0,45.0,5.0,45.0,40.0
30.0,0.0,10.0,45.0,40.0
30.0,30.0,5.0,45.0,40.0
40.0,45.0,5.0,0.0,40.0
20.0,15.0,10.0,0.0,40.0
30.0,45.0,10.0,45.0,40.0
30.0,0.0,0.0,45.0,40.0
30.0,30.0,5.0,45.0,0.0
40.0,0.0,5.0,45.0,40.0
20.0,30.0,10.0,0.0,0.0
30.0,15.0,10.0,45.0,40.0
30.0,15.0,10.0,30.0,40.0
40.0,0.0,10.0,45.0,40.0
40.0,45.0,0.0,45.0,40.0
40.0,0.0,10.0,45.0,0.0
40.0,45.0,10.0,45.0,40.0
0.0,45.0,5.0,45.0,0.0
20.0,45.0,0.0,45.0,0.0
30.0,30.0,5.0,30.0,40.0
40.0,30.0,10.0,45.0,40.0
0.0,0.0,10.0,15.0,0.0
20.0,15.0,10.0,45.0,40.0
0.0,45.0,10.0,0.0,40.0
40.0,30.0,0.0,45.0,40.0
0.0,30.0,0.0,15.0,40.0
20.0,0.0,10.0,45.0,0.0
20.0,15.0,10.0,45.0,20.0
30.0,0.0,0.0,45.0,40.0
30.0,45.0,10.0,15.0,40.0
0.0,15.0,5.0,30.0,40.0
40.0,15.0,0.0,45.0,40.0
30.0,15.0,10.0,45.0,0.0
30.0,0.0,10.0,45.0,0.0
0.0,30.0,10.0,30.0,0.0
20.0,45.0,10.0,0.0,40.0
20.0,45.0,0.0,0.0,40.0
30.0,30.0,10.0,45.0,40.0
40.0,45.0,0.0,30.0,40.0
30.0,45.0,10.0,0.0,0.0
40.0,30.0,10.0,45.0,0.0
40.0,0.0,10.0,0.0,40.0
20.0,45.0,0.0,45.0,40.0
30.0,45.0,0.0,0.0,40.0
30.0,30.0,5.0,0.0,40.0
20.0,45.0,0.0,45.0,20.0
30.0,15.0,5.0,0.0,40.0
20.0,45.0,10.0,45.0,40.0
20.0,0.0,5.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
30.0,30.0,10.0,45.0,0.0
30.0,45.0,0.0,0.0,40.0
0.0,15.0,0.0,30.0,40.0
40.0,30.0,5.0,45.0,40.0
40.0,45.0,5.0,45.0,40.0
30.0,30.0,10.0,45.0,20.0
20.0,45.0,0.0,45.0,0.0
20.0,30.0,0.0,0.0,40.0
30.0,15.0,10.0,45.0,40.0
30.0,15.0,10.0,45.0,40.0
30.0,45.0,0.0,45.0,40.0
20.0,30.0,0.0,45.0,40.0
40.0,30.0,10.0,45.0,40.0
40.0,45.0,5.0,45.0,0.0
20.0,45.0,10.0,45.0,40.0
30.0,30.0,5.0,30.0,40.0
20.0,45.0,5.0,45.0,0.0
30.0,30.0,10.0,45.0,40.0
40.0,45.0,10.0,30.0,40.0
40.0,30.0,5.0,0.0,40.0
10.0,30.0,0.0,45.0,40.0
30.0,45.0,10.0,45.0,0.0
30.0,30.0,0.0,45.0,0.0
20.0,30.0,0.0,45.0,40.0
30.0,45.0,10.0,45.0,40.0
40.0,0.0,10.0,45.0,40.0
30.0,30.0,0.0,0.0,40.0
40.0,45.0,5.0,15.0,40.0
20.0,30.0,0.0,45.0,40.0
30.0,0.0,10.0,45.0,40.0
20.0,45.0,10.0,15.0,40.0
40.0,30.0,0.0,45.0,0.0
30.0,30.0,0.0,30.0,40.0
30.0,0.0,10.0,0.0,40.0
40.0,45.0,10.0,45.0,40.0
30.0,0.0,10.0,45.0,40.0
40.0,45.0,10.0,0.0,0.0
30.0,30.0,10.0,30.0,40.0
30.0,0.0,0.0,45.0,40.0
30.0,0.0,0.0,45.0,0.0
30.0,15.0,0.0,30.0,40.0
30.0,45.0,10.0,0.0,40.0
30.0,30.0,10.0,45.0,40.0
40.0,30.0,10.0,30.0,20.0
40.0,30.0,0.0,0.0,40.0
10.0,45.0,10.0,30.0,20.0
20.0,45.0,10.0,30.0,40.0
30.0,0.0,5.0,45.0,40.0
40.0,30.0,0.0,0.0,0.0
40.0,45.0,10.0,45.0,40.0
30.0,0.0,10.0,0.0,0.0
30.0,30.0,10.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
30.0,0.0,10.0,45.0,0.0
20.0,30.0,10.0,30.0,0.0
40.0,45.0,10.0,45.0,40.0
30.0,30.0,0.0,45.0,40.0
30.0,30.0,0.0,15.0,40.0
30.0,45.0,10.0,45.0,40.0
30.0,45.0,10.0,45.0,40.0
30.0,15.0,5.0,0.0,40.0
20.0,30.0,10.0,0.0,40.0
30.0,30.0,10.0,45.0,40.0
30.0,45.0,10.0,0.0,0.0
30.0,45.0,10.0,0.0,40.0
30.0,0.0,5.0,30.0,40.0
20.0,15.0,10.0,45.0,40.0
20.0,45.0,0.0,0.0,40.0
30.0,30.0,5.0,45.0,40.0
30.0,45.0,10.0,45.0,0.0
30.0,0.0,0.0,0.0,40.0
20.0,45.0,0.0,30.0,40.0
40.0,30.0,10.0,45.0,20.0
40.0,30.0,10.0,30.0,40.0
20.0,45.0,0.0,45.0,40.0
10.0,30.0,5.0,45.0,40.0
0.0,0.0,10.0,45.0,40.0
0.0,45.0,10.0,30.0,40.0
20.0,0.0,10.0,0.0,40.0
40.0,15.0,10.0,0.0,0.0
40.0,45.0,10.0,30.0,40.0
40.0,45.0,0.0,45.0,40.0
20.0,45.0,5.0,30.0,20.0
30.0,30.0,0.0,0.0,40.0
30.0,0.0,10.0,45.0,40.0
30.0,45.0,10.0,45.0,0.0
40.0,30.0,0.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
0.0,45.0,10.0,45.0,40.0
30.0,0.0,10.0,45.0,0.0
40.0,45.0,0.0,45.0,40.0
40.0,45.0,0.0,45.0,40.0
30.0,30.0,10.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
40.0,45.0,10.0,45.0,40.0
30.0,30.0,10.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
10.0,45.0,10.0,30.0,0.0
30.0,45.0,10.0,45.0,40.0
20.0,45.0,5.0,0.0,20.0
0.0,30.0,10.0,0.0,40.0
40.0,45.0,10.0,45.0,40.0
20.0,30.0,5.0,45.0,40.0
40.0,30.0,10.0,0.0,0.0
40.0,45.0,5.0,45.0,0.0
20.0,15.0,10.0,45.0,40.0
30.0,45.0,0.0,45.0,0.0
40.0,30.0,10.0,0.0,40.0
30.0,30.0,10.0,45.0,0.0
40.0,45.0,0.0,30.0,40.0
40.0,45.0,10.0,45.0,0.0
10.0,0.0,10.0,45.0,40.0
10.0,30.0,0.0,30.0,40.0
30.0,0.0,10.0,45.0,40.0
30.0,15.0,10.0,0.0,40.0
30.0,0.0,5.0,45.0,40.0
30.0,0.0,5.0,0.0,40.0
30.0,30.0,0.0,30.0,40.0
20.0,45.0,10.0,45.0,0.0
40.0,45.0,10.0,45.0,40.0
20.0,0.0,10.0,45.0,40.0
30.0,15.0,10.0,45.0,40.0
40.0,30.0,10.0,0.0,0.0
40.0,30.0,10.0,45.0,40.0
10.0,30.0,5.0,45.0,40.0
30.0,15.0,10.0,45.0,40.0
30.0,15.0,10.0,45.0,0.0
30.0,45.0,10.0,45.0,40.0
20.0,15.0,5.0,30.0,40.0
40.0,15.0,10.0,45.0,40.0
30.0,30.0,0.0,0.0,40.0
30.0,45.0,10.0,45.0,40.0
0.0,45.0,5.0,15.0,40.0
20.0,0.0,5.0,45.0,40.0
30.0,30.0,5.0,30.0,40.0
40.0,15.0,10.0,45.0,0.0
20.0,30.0,5.0,45.0,40.0
20.0,30.0,10.0,45.0,0.0
40.0,0.0,0.0,0.0,40.0
20.0,45.0,5.0,45.0,40.0
30.0,0.0,10.0,30.0,0.0
40.0,15.0,0.0,45.0,40.0
10.0,45.0,0.0,45.0,0.0
30.0,45.0,10.0,45.0,40.0
30.0,30.0,5.0,30.0,40.0
40.0,30.0,10.0,0.0,40.0
20.0,30.0,10.0,45.0,0.0
40.0,30.0,5.0,30.0,0.0
10.0,0.0,0.0,45.0,40.0
10.0,30.0,10.0,45.0,40.0
30.0,0.0,10.0,45.0,40.0
40.0,45.0,10.0,45.0,40.0
20.0,30.0,0.0,45.0,0.0
30.0,0.0,10.0,45.0,40.0
40.0,45.0,5.0,45.0,40.0
20.0,15.0,0.0,30.0,40.0
30.0,45.0,10.0,45.0,40.0
30.0,30.0,0.0,45.0,40.0
30.0,30.0,5.0,45.0,0.0
30.0,45.0,10.0,45.0,40.0
0.0,45.0,5.0,30.0,40.0
20.0,0.0,10.0,45.0,40.0
0.0,0.0,5.0,45.0,0.0
30.0,30.0,10.0,45.0,0.0
40.0,0.0,10.0,0.0,40.0
30.0,0.0,10.0,45.0,40.0
40.0,45.0,10.0,45.0,0.0
30.0,30.0,5.0,45.0,0.0
30.0,30.0,10.0,30.0,0.0
30.0,30.0,10.0,45.0,40.0
30.0,45.0,0.0,30.0,40.0
30.0,30.0,0.0,45.0,0.0
30.0,45.0,10.0,45.0,40.0
30.0,15.0,10.0,45.0,0.0
40.0,45.0,5.0,0.0,40.0
40.0,30.0,5.0,45.0,40.0
20.0,30.0,10.0,45.0,40.0
40.0,30.0,5.0,0.0,40.0
20.0,0.0,0.0,45.0,40.0
30.0,15.0,0.0,0.0,40.0
30.0,30.0,10.0,0.0,40.0
20.0,15.0,5.0,45.0,40.0
30.0,30.0,5.0,45.0,40.0
30.0,30.0,0.0,45.0,40.0
30.0,30.0,10.0,30.0,40.0
40.0,30.0,10.0,0.0,40.0
10.0,0.0,5.0,45.0,40.0
40.0,45.0,10.0,30.0,0.0
10.0,0.0,10.0,0.0,0.0
40.0,30.0,10.0,45.0,40.0
40.0,30.0,10.0,0.0,40.0
30.0,30.0,5.0,0.0,20.0
30.0,15.0,10.0,30.0,40.0
30.0,45.0,0.0,45.0,40.0
20.0,45.0,0.0,0.0,40.0
30.0,45.0,10.0,45.0,0.0
30.0,15.0,10.0,45.0,40.0
30.0,15.0,10.0,45.0,0.0
0.0,45.0,10.0,45.0,40.0
30.0,30.0,10.0,0.0,0.0
30.0,0.0,5.0,45.0,20.0
40.0,15.0,10.0,45.0,40.0
20.0,30.0,10.0,45.0,40.0
40.0,45.0,10.0,0.0,0.0
40.0,45.0,5.0,45.0,0.0
30.0,30.0,10.0,45.0,40.0
30.0,0.0,10.0,45.0,40.0
0.0,0.0,5.0,45.0,0.0
40.0,15.0,10.0,45.0,0.0
10.0,45.0,10.0,45.0,40.0
30.0,45.0,10.0,45.0,0.0
30.0,30.0,0.0,30.0,0.0
20.0,45.0,10.0,15.0,40.0
30.0,45.0,0.0,45.0,40.0
10.0,30.0,10.0,0.0,40.0
30.0,45.0,0.0,45.0,40.0
30.0,45.0,5.0,0.0,0.0
10.0,45.0,10.0,45.0,40.0
40.0,45.0,5.0,0.0,0.0
40.0,45.0,0.0,0.0,40.0
30.0,30.0,0.0,45.0,40.0
40.0,15.0,10.0,45.0,40.0
0.0,0.0,10.0,45.0,40.0
30.0,0.0,5.0,30.0,0.0
30.0,45.0,10.0,45.0,40.0
40.0,30.0,5.0,0.0,0.0
30.0,45.0,0.0,45.0,40.0
0.0,30.0,0.0,0.0,40.0
40.0,30.0,0.0,45.0,40.0
40.0,15.0,5.0,45.0,40.0
40.0,45.0,5.0,0.0,40.0
20.0,30.0,5.0,45.0,40.0
30.0,45.0,5.0,45.0,40.0
30.0,45.0,5.0,0.0,40.0
20.0,15.0,10.0,30.0,40.0
40.0,0.0,5.0,0.0,40.0
30.0,45.0,5.0,0.0,40.0
20.0,30.0,10.0,30.0,0.0
30.0,45.0,10.0,45.0,40.0
20.0,45.0,5.0,0.0,40.0
20.0,45.0,10.0,45.0,0.0
30.0,45.0,5.0,45.0,0.0
30.0,45.0,5.0,30.0,0.0
30.0,0.0,10.0,30.0,0.0
40.0,0.0,10.0,30.0,40.0
40.0,0.0,0.0,45.0,40.0
30.0,0.0,10.0,0.0,40.0
30.0,30.0,10.0,30.0,40.0
30.0,45.0,10.0,45.0,0.0
40.0,15.0,10.0,45.0,40.0
40.0,15.0,5.0,45.0,0.0
30.0,15.0,10.0,30.0,40.0
10.0,45.0,10.0,30.0,20.0
20.0,15.0,0.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
20.0,30.0,10.0,0.0,40.0
30.0,30.0,10.0,0.0,40.0
10.0,45.0,10.0,45.0,40.0
40.0,30.0,0.0,0.0,0.0
40.0,30.0,10.0,45.0,40.0
40.0,30.0,5.0,45.0,40.0
40.0,45.0,10.0,0.0,40.0
30.0,15.0,10.0,0.0,40.0
30.0,0.0,0.0,45.0,0.0
30.0,0.0,10.0,45.0,40.0
30.0,45.0,10.0,30.0,40.0
30.0,0.0,0.0,45.0,40.0
40.0,45.0,10.0,0.0,40.0
30.0,0.0,10.0,45.0,0.0
20.0,30.0,10.0,45.0,20.0
30.0,45.0,5.0,45.0,40.0
30.0,30.0,10.0,45.0,40.0
30.0,0.0,10.0,45.0,40.0
30.0,30.0,0.0,45.0,40.0
30.0,45.0,0.0,45.0,0.0
30.0,45.0,10.0,30.0,0.0
20.0,0.0,5.0,45.0,0.0
40.0,45.0,5.0,45.0,40.0
40.0,15.0,5.0,0.0,40.0
20.0,0.0,0.0,45.0,40.0
30.0,30.0,10.0,30.0,40.0
30.0,30.0,5.0,45.0,40.0
20.0,45.0,10.0,0.0,0.0
20.0,45.0,0.0,45.0,40.0
30.0,30.0,10.0,45.0,0.0
40.0,45.0,5.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
20.0,30.0,10.0,45.0,0.0
30.0,30.0,10.0,0.0,40.0
40.0,45.0,0.0,45.0,40.0
40.0,15.0,10.0,45.0,40.0
20.0,45.0,5.0,45.0,40.0
20.0,30.0,10.0,45.0,40.0
10.0,30.0,10.0,30.0,40.0
40.0,30.0,0.0,30.0,0.0
40.0,45.0,10.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
30.0,45.0,10.0,0.0,0.0
30.0,30.0,0.0,45.0,40.0
0.0,30.0,5.0,45.0,40.0
40.0,30.0,10.0,30.0,40.0
20.0,30.0,10.0,45.0,0.0
10.0,30.0,5.0,30.0,0.0
30.0,45.0,10.0,30.0,40.0
30.0,45.0,10.0,30.0,40.0
0.0,45.0,0.0,0.0,40.0
30.0,15.0,10.0,0.0,40.0
10.0,0.0,10.0,45.0,0.0
0.0,30.0,0.0,45.0,40.0
30.0,30.0,10.0,0.0,0.0
40.0,0.0,10.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
30.0,30.0,0.0,45.0,0.0
40.0,15.0,10.0,45.0,40.0
20.0,30.0,10.0,45.0,0.0
20.0,45.0,10.0,0.0,40.0
40.0,0.0,10.0,45.0,40.0
30.0,30.0,5.0,0.0,40.0
40.0,45.0,10.0,45.0,40.0
40.0,30.0,10.0,45.0,40.0
30.0,30.0,5.0,45.0,40.0
0.0,30.0,5.0,45.0,40.0
30.0,45.0,10.0,0.0,0.0
10.0,30.0,10.0,0.0,40.0
30.0,30.0,10.0,30.0,20.0
0.0,30.0,5.0,45.0,40.0
30.0,0.0,10.0,30.0,40.0
30.0,45.0,10.0,45.0,0.0
30.0,0.0,10.0,45.0,0.0
40.0,30.0,10.0,0.0,0.0
40.0,30.0,10.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
30.0,30.0,10.0,30.0,40.0
20.0,30.0,0.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
30.0,15.0,10.0,45.0,40.0
40.0,30.0,0.0,45.0,40.0
40.0,30.0,10.0,15.0,40.0
40.0,15.0,5.0,30.0,40.0
30.0,45.0,10.0,45.0,40.0
30.0,30.0,10.0,30.0,40.0
0.0,15.0,5.0,45.0,0.0
40.0,30.0,10.0,15.0,0.0
20.0,0.0,10.0,30.0,40.0
30.0,30.0,10.0,45.0,40.0
40.0,30.0,0.0,45.0,40.0
40.0,30.0,5.0,45.0,40.0
40.0,45.0,10.0,30.0,0.0
40.0,30.0,0.0,45.0,0.0
20.0,45.0,10.0,45.0,40.0
40.0,45.0,10.0,45.0,40.0
40.0,15.0,10.0,45.0,40.0
30.0,30.0,10.0,0.0,40.0
40.0,45.0,5.0,0.0,0.0
20.0,15.0,5.0,45.0,40.0
20.0,45.0,5.0,30.0,0.0
20.0,45.0,0.0,0.0,0.0
20.0,45.0,0.0,45.0,40.0
40.0,30.0,10.0,30.0,0.0
40.0,30.0,10.0,45.0,40.0
10.0,30.0,5.0,45.0,0.0
40.0,15.0,10.0,0.0,40.0
40.0,30.0,10.0,0.0,0.0
40.0,30.0,10.0,30.0,40.0
40.0,45.0,10.0,45.0,40.0
40.0,30.0,5.0,45.0,40.0
40.0,45.0,10.0,0.0,40.0
40.0,15.0,0.0,45.0,0.0
0.0,45.0,10.0,45.0,40.0
30.0,45.0,10.0,0.0,0.0
20.0,15.0,10.0,45.0,40.0
40.0,30.0,5.0,45.0,40.0
20.0,15.0,10.0,45.0,40.0
10.0,30.0,10.0,45.0,40.0
0.0,45.0,10.0,45.0,40.0
40.0,15.0,10.0,45.0,40.0
20.0,30.0,0.0,30.0,40.0
30.0,45.0,10.0,45.0,40.0
30.0,0.0,10.0,45.0,0.0
30.0,45.0,0.0,45.0,40.0
0.0,15.0,5.0,30.0,40.0
30.0,30.0,5.0,45.0,40.0
30.0,45.0,10.0,45.0,0.0
20.0,45.0,10.0,45.0,40.0
10.0,30.0,5.0,0.0,40.0
30.0,30.0,10.0,45.0,0.0
40.0,0.0,0.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
30.0,30.0,0.0,45.0,40.0
30.0,30.0,10.0,45.0,40.0
20.0,30.0,10.0,0.0,40.0
0.0,30.0,0.0,45.0,40.0
30.0,45.0,5.0,0.0,0.0
20.0,45.0,5.0,45.0,0.0
30.0,30.0,10.0,45.0,40.0
30.0,45.0,0.0,45.0,0.0
20.0,45.0,10.0,0.0,40.0
30.0,45.0,0.0,45.0,40.0
30.0,15.0,0.0,0.0,40.0
10.0,45.0,10.0,45.0,40.0
40.0,30.0,10.0,45.0,0.0
30.0,15.0,5.0,45.0,40.0
30.0,30.0,10.0,30.0,40.0
40.0,45.0,10.0,0.0,40.0
30.0,0.0,0.0,45.0,40.0
10.0,0.0,10.0,45.0,40.0
30.0,45.0,10.0,0.0,0.0
30.0,30.0,10.0,45.0,40.0
30.0,30.0,10.0,45.0,40.0
30.0,15.0,10.0,0.0,20.0
30.0,45.0,10.0,30.0,0.0
40.0,15.0,10.0,45.0,40.0
40.0,30.0,5.0,45.0,40.0
40.0,30.0,5.0,30.0,40.0
20.0,30.0,5.0,0.0,40.0
20.0,30.0,0.0,45.0,0.0
40.0,30.0,0.0,45.0,40.0
20.0,15.0,10.0,0.0,0.0
30.0,45.0,10.0,45.0,40.0
40.0,0.0,0.0,30.0,40.0
30.0,45.0,10.0,45.0,40.0
40.0,0.0,5.0,45.0,0.0
30.0,45.0,10.0,30.0,0.0
40.0,0.0,10.0,45.0,40.0
40.0,30.0,5.0,45.0,40.0
0.0,30.0,0.0,30.0,40.0
30.0,45.0,5.0,45.0,40.0
30.0,45.0,0.0,45.0,0.0
0.0,30.0,10.0,45.0,40.0
20.0,0.0,5.0,0.0,40.0
0.0,30.0,0.0,0.0,40.0
30.0,30.0,10.0,0.0,0.0
40.0,45.0,0.0,45.0,40.0
10.0,45.0,5.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
30.0,45.0,10.0,45.0,40.0
0.0,0.0,10.0,45.0,40.0
40.0,30.0,0.0,0.0,40.0
30.0,15.0,10.0,30.0,40.0
20.0,45.0,10.0,45.0,20.0
40.0,30.0,0.0,45.0,0.0
30.0,45.0,10.0,45.0,0.0
40.0,15.0,5.0,30.0,0.0
0.0,30.0,10.0,0.0,40.0
30.0,45.0,5.0,45.0,40.0
20.0,30.0,10.0,30.0,40.0
20.0,45.0,0.0,45.0,40.0
10.0,30.0,10.0,0.0,40.0
40.0,15.0,0.0,30.0,0.0
20.0,45.0,10.0,45.0,0.0
20.0,15.0,5.0,0.0,40.0
30.0,45.0,0.0,45.0,0.0
30.0,15.0,10.0,45.0,0.0
40.0,15.0,10.0,30.0,40.0
20.0,0.0,0.0,45.0,40.0
30.0,30.0,10.0,45.0,40.0
0.0,45.0,5.0,0.0,40.0
20.0,30.0,0.0,45.0,40.0
40.0,15.0,5.0,30.0,40.0
20.0,45.0,0.0,30.0,40.0
20.0,15.0,10.0,45.0,40.0
20.0,0.0,10.0,45.0,40.0
20.0,15.0,10.0,45.0,0.0
20.0,0.0,10.0,45.0,0.0
20.0,15.0,5.0,45.0,0.0
20.0,45.0,10.0,30.0,0.0
10.0,30.0,5.0,45.0,0.0
30.0,0.0,5.0,45.0,20.0
30.0,30.0,10.0,45.0,40.0
30.0,30.0,5.0,30.0,40.0
30.0,45.0,10.0,0.0,40.0
30.0,30.0,5.0,45.0,40.0
30.0,0.0,10.0,45.0,40.0
10.0,15.0,5.0,30.0,20.0
30.0,30.0,10.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
30.0,15.0,10.0,45.0,40.0
40.0,15.0,10.0,30.0,40.0
40.0,45.0,0.0,30.0,40.0
30.0,45.0,10.0,45.0,0.0
30.0,45.0,10.0,0.0,40.0
30.0,0.0,10.0,45.0,40.0
40.0,15.0,10.0,0.0,40.0
30.0,30.0,5.0,45.0,0.0
20.0,30.0,0.0,45.0,40.0
30.0,30.0,5.0,45.0,40.0
30.0,45.0,10.0,45.0,0.0
20.0,30.0,5.0,45.0,40.0
40.0,0.0,5.0,45.0,40.0
30.0,45.0,0.0,30.0,40.0
0.0,30.0,10.0,30.0,40.0
20.0,45.0,5.0,45.0,40.0
40.0,15.0,10.0,45.0,40.0
40.0,45.0,10.0,0.0,40.0
40.0,30.0,10.0,30.0,0.0
30.0,15.0,10.0,45.0,40.0
40.0,30.0,0.0,45.0,40.0
40.0,30.0,10.0,45.0,0.0
40.0,45.0,5.0,45.0,40.0
40.0,30.0,10.0,45.0,40.0
30.0,15.0,10.0,45.0,0.0
30.0,0.0,5.0,45.0,40.0
20.0,30.0,10.0,30.0,40.0
30.0,30.0,5.0,30.0,40.0
10.0,30.0,0.0,45.0,40.0
40.0,0.0,10.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
20.0,45.0,10.0,0.0,20.0
20.0,30.0,0.0,45.0,20.0
30.0,15.0,5.0,0.0,40.0
40.0,45.0,5.0,30.0,40.0
20.0,30.0,5.0,30.0,0.0
40.0,0.0,5.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
0.0,45.0,10.0,45.0,40.0
20.0,30.0,10.0,0.0,0.0
40.0,15.0,10.0,45.0,40.0
30.0,30.0,10.0,45.0,40.0
30.0,45.0,10.0,45.0,40.0
40.0,15.0,10.0,45.0,20.0
30.0,15.0,10.0,45.0,40.0
40.0,45.0,10.0,45.0,40.0
30.0,45.0,0.0,30.0,0.0
40.0,45.0,5.0,0.0,40.0
20.0,45.0,10.0,30.0,40.0
40.0,30.0,10.0,0.0,0.0
20.0,30.0,10.0,30.0,40.0
40.0,30.0,5.0,0.0,40.0
30.0,0.0,10.0,0.0,0.0
20.0,45.0,5.0,45.0,40.0
40.0,30.0,10.0,45.0,0.0
30.0,30.0,0.0,30.0,40.0
30.0,0.0,0.0,45.0,0.0
30.0,45.0,5.0,45.0,40.0
40.0,0.0,0.0,30.0,40.0
40.0,30.0,5.0,45.0,40.0
40.0,0.0,0.0,0.0,20.0
30.0,45.0,10.0,0.0,40.0
30.0,45.0,10.0,30.0,40.0
30.0,30.0,0.0,45.0,0.0
20.0,45.0,0.0,30.0,40.0
30.0,0.0,0.0,30.0,40.0
10.0,15.0,0.0,45.0,40.0
30.0,45.0,0.0,45.0,40.0
40.0,45.0,10.0,0.0,40.0
40.0,45.0,5.0,45.0,40.0
30.0,45.0,10.0,45.0,40.0
30.0,15.0,0.0,30.0,40.0
40.0,45.0,0.0,45.0,20.0
10.0,30.0,10.0,30.0,40.0
40.0,30.0,10.0,30.0,40.0
0.0,30.0,0.0,0.0,40.0
40.0,0.0,10.0,0.0,20.0
20.0,30.0,10.0,45.0,20.0
20.0,45.0,5.0,45.0,20.0
40.0,30.0,10.0,45.0,20.0
30.0,15.0,10.0,0.0,40.0
30.0,30.0,10.0,0.0,40.0
40.0,45.0,10.0,45.0,40.0
40.0,45.0,5.0,0.0,40.0
30.0,45.0,10.0,45.0,0.0
30.0,15.0,10.0,0.0,40.0
40.0,45.0,0.0,0.0,40.0
0.0,45.0,10.0,30.0,0.0
30.0,30.0,10.0,45.0,40.0
20.0,30.0,10.0,45.0,40.0
40.0,0.0,10.0,30.0,40.0
30.0,45.0,5.0,0.0,40.0
30.0,45.0,5.0,45.0,40.0
20.0,45.0,5.0,45.0,40.0
30.0,30.0,10.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
40.0,30.0,10.0,30.0,40.0
40.0,0.0,10.0,45.0,40.0
30.0,45.0,10.0,30.0,0.0
30.0,0.0,5.0,0.0,0.0
40.0,45.0,0.0,0.0,40.0
20.0,15.0,5.0,45.0,20.0
30.0,30.0,0.0,45.0,40.0
30.0,45.0,10.0,30.0,40.0
30.0,0.0,5.0,45.0,40.0
40.0,30.0,10.0,30.0,0.0
0.0,15.0,0.0,45.0,40.0
0.0,45.0,10.0,45.0,40.0
0.0,30.0,0.0,45.0,40.0
30.0,45.0,10.0,45.0,0.0
10.0,0.0,10.0,45.0,40.0
30.0,0.0,10.0,30.0,40.0
30.0,30.0,10.0,30.0,40.0
40.0,30.0,5.0,0.0,40.0
40.0,45.0,10.0,0.0,40.0
10.0,15.0,0.0,45.0,40.0
40.0,30.0,10.0,0.0,0.0
30.0,30.0,5.0,45.0,40.0
10.0,45.0,5.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
30.0,30.0,0.0,30.0,40.0
30.0,30.0,10.0,45.0,0.0
10.0,45.0,5.0,45.0,0.0
20.0,30.0,5.0,0.0,40.0
30.0,45.0,5.0,0.0,40.0
30.0,30.0,5.0,30.0,0.0
30.0,45.0,0.0,45.0,40.0
40.0,30.0,5.0,45.0,40.0
20.0,45.0,0.0,45.0,40.0
30.0,45.0,10.0,45.0,0.0
40.0,30.0,10.0,30.0,40.0
40.0,30.0,5.0,0.0,40.0
30.0,45.0,10.0,30.0,0.0
20.0,45.0,10.0,45.0,40.0
30.0,0.0,0.0,45.0,40.0
20.0,45.0,0.0,45.0,40.0
40.0,45.0,5.0,45.0,0.0
20.0,45.0,10.0,0.0,40.0
30.0,15.0,10.0,0.0,40.0
40.0,30.0,10.0,45.0,40.0
20.0,15.0,10.0,45.0,40.0
10.0,45.0,10.0,0.0,40.0
30.0,15.0,5.0,45.0,40.0
20.0,45.0,10.0,45.0,40.0
10.0,45.0,5.0,30.0,40.0
20.0,0.0,10.0,30.0,40.0
40.0,0.0,10.0,0.0,40.0
40.0,45.0,0.0,0.0,40.0
30.0,45.0,5.0,0.0,40.0
0.0,45.0,10.0,15.0,40.0
30.0,45.0,5.0,0.0,40.0
30.0,45.0,10.0,30.0,40.0
30.0,30.0,10.0,30.0,0.0
20.0,45.0,10.0,45.0,40.0
30.0,30.0,10.0,30.0,40.0
30.0,0.0,5.0,45.0,40.0
30.0,45.0,5.0,30.0,0.0
40.0,15.0,10.0,30.0,0.0
40.0,45.0,10.0,45.0,40.0
